n	feature	read_length	srr	val
18371	CDS	25	SRR1042900	15079
18610	CDS	26	SRR1042900	29856
18872	CDS	27	SRR1042900	57609
19152	CDS	28	SRR1042900	100498
19302	CDS	29	SRR1042900	113720
19223	CDS	30	SRR1042900	65293
19026	CDS	31	SRR1042900	20725
18785	CDS	32	SRR1042900	4111
18603	CDS	33	SRR1042900	226
18327	CDS	34	SRR1042900	79
18052	CDS	35	SRR1042900	53
7506	lncRNA	25	SRR1042900	239
8101	lncRNA	26	SRR1042900	263
8815	lncRNA	27	SRR1042900	369
9902	lncRNA	28	SRR1042900	665
10364	lncRNA	29	SRR1042900	833
10070	lncRNA	30	SRR1042900	539
9501	lncRNA	31	SRR1042900	192
8857	lncRNA	32	SRR1042900	52
8272	lncRNA	33	SRR1042900	3
7743	lncRNA	34	SRR1042900	2
6908	lncRNA	35	SRR1042900	1
217	sno/miRNA	25	SRR1042900	8
217	sno/miRNA	26	SRR1042900	3
225	sno/miRNA	27	SRR1042900	7
249	sno/miRNA	28	SRR1042900	5
232	sno/miRNA	29	SRR1042900	8
236	sno/miRNA	30	SRR1042900	5
232	sno/miRNA	31	SRR1042900	3
208	sno/miRNA	32	SRR1042900	1
186	sno/miRNA	33	SRR1042900	0
157	sno/miRNA	34	SRR1042900	0
141	sno/miRNA	35	SRR1042900	0
18371	CDS	25	SRR1042901	14490
18610	CDS	26	SRR1042901	26592
18872	CDS	27	SRR1042901	50939
19152	CDS	28	SRR1042901	88607
19302	CDS	29	SRR1042901	106255
19223	CDS	30	SRR1042901	73113
19026	CDS	31	SRR1042901	28733
18785	CDS	32	SRR1042901	7115
18603	CDS	33	SRR1042901	369
18327	CDS	34	SRR1042901	128
18052	CDS	35	SRR1042901	47
7506	lncRNA	25	SRR1042901	238
8101	lncRNA	26	SRR1042901	261
8815	lncRNA	27	SRR1042901	404
9902	lncRNA	28	SRR1042901	654
10364	lncRNA	29	SRR1042901	829
10070	lncRNA	30	SRR1042901	646
9501	lncRNA	31	SRR1042901	269
