samples	reads	mapped	chimera	multimappers	multimappers_toomany	unmapped_tooshort	unmapped_other
hg19/STAR/SRR1042900	19618059	3248880	923	14470967	261255	1632289	4668
hg19/STAR/SRR1042901	21264774	3389994	674	15752625	461186	1656723	4246
hg19/STAR/SRR1042902	3365056	579787	97	2385844	48145	349724	1556
hg19/STAR/SRR1173905	23982398	1948212	0	20531280	56530	1446187	189
hg19/STAR/SRR1173907	23538174	1208333	0	20725518	35488	1568674	161
hg19/STAR/SRR1173909	93090059	10335010	855	81273209	457970	1016807	7063
hg19/STAR/SRR1173910	8342296	791048	146	6324324	35779	1190476	669
hg19/STAR/SRR1173913	120156718	8897967	1084	108509415	400940	2343197	5199
hg19/STAR/SRR1173914	8921861	430768	132	7191262	21993	1277491	347
hg19/STAR/SRR1204655	499831	420264	256	75924	891	2514	238
hg19/STAR/SRR1204656	507679	437850	174	66510	837	2271	211
hg19/STAR/SRR1257225	54226363	10577592	815	42526201	322797	782545	17228
hg19/STAR/SRR1257226	40647770	7215632	425	32777127	247350	394654	13007
hg19/STAR/SRR1257227	53825881	9274935	1031	43510094	246864	777482	16506
hg19/STAR/SRR1257228	55715574	10216849	819	44667999	307619	501987	21120
hg19/STAR/SRR1257229	60128196	10725337	834	48596380	301533	483430	21516
hg19/STAR/SRR1257230	49556634	8551828	1030	40195100	248264	544082	17360
hg19/STAR/SRR1257231	63777979	11907385	889	50470482	354014	1021492	24606
hg19/STAR/SRR1257232	50651096	9283694	684	40646193	275322	427235	18652
hg19/STAR/SRR1257233	31773712	5719833	666	25499628	178805	364970	10476
hg19/STAR/SRR1257234	36672196	6196837	554	29989791	192170	281433	11965
hg19/STAR/SRR1257235	52691690	9060371	688	42966348	272551	376075	16345
hg19/STAR/SRR1257236	79357291	13516359	1561	64688961	394232	732419	25320
hg19/STAR/SRR1257237	55778091	7666204	449	46932046	294303	871257	14281
hg19/STAR/SRR1257238	36458337	5804693	450	29580146	226872	835841	10785
hg19/STAR/SRR1257239	54380338	6820909	483	46518748	243944	786663	10074
hg19/STAR/SRR1257240	80104743	11513179	767	66949438	495224	1127827	19075
hg19/STAR/SRR1257241	57046986	8694845	543	47285341	346271	704289	16240
hg19/STAR/SRR1257242	63410192	9401965	615	52663553	421063	907098	16513
hg19/STAR/SRR1257243	41970905	5369864	722	35218548	209588	1162686	10219
hg19/STAR/SRR1257244	64700866	9520475	556	53704003	431833	1027073	17482
hg19/STAR/SRR1257245	55601350	8595772	530	45874379	286475	829698	15026
hg19/STAR/SRR1257246	64151155	8916372	680	54000147	399984	819253	15399
hg19/STAR/SRR1257247	60411307	9758907	716	49413327	429734	791825	17514
hg19/STAR/SRR1257248	49839801	7505316	638	41330440	260971	731380	11694
hg19/STAR/SRR1257249	40200049	5511336	333	33514988	220345	946292	7088
hg19/STAR/SRR1257250	50267562	7434987	431	41735444	236908	851132	9091
hg19/STAR/SRR1257251	47582802	7155123	393	39568322	211171	638017	10169
hg19/STAR/SRR1257252	56263302	7760695	457	47580168	220345	691347	10747
hg19/STAR/SRR1257253	51707241	6937240	413	43939792	243768	575880	10561
hg19/STAR/SRR1257254	50518337	7805753	428	41984142	228388	489251	10803
hg19/STAR/SRR1257255	49901269	6632767	342	41940603	237518	1081399	8982
hg19/STAR/SRR1257256	52348024	7772641	421	43631636	247425	684581	11741
hg19/STAR/SRR1257257	50511684	7503311	364	42235300	247636	513734	11703
hg19/STAR/SRR1257258	55452986	7513961	537	47073440	204907	650512	10166
hg19/STAR/SRR1257259	54947426	8090240	506	44794343	274157	1777500	11186
hg19/STAR/SRR1257260	43808444	6443812	317	36787114	212891	356347	8280
hg19/STAR/SRR1257261	50551493	6617195	461	42169887	211835	1544028	8548
hg19/STAR/SRR1257262	49395776	7179603	457	40780849	222233	1203629	9462
hg19/STAR/SRR1257263	37493958	5848190	299	30832874	144468	659954	8472
hg19/STAR/SRR1257264	40574365	5786978	374	34208588	198424	371424	8951
hg19/STAR/SRR1257265	54880156	7979067	400	46048752	249613	591496	11228
hg19/STAR/SRR1257266	48982180	7731119	385	40503090	245336	492109	10526
hg19/STAR/SRR1257267	55042071	7601221	422	46001399	226209	1202106	11136
hg19/STAR/SRR1257268	57552229	8502157	407	48045372	247374	743668	13658
hg19/STAR/SRR1257269	60276357	8958699	407	50368478	276191	659269	13720
hg19/STAR/SRR1257270	55204923	7804195	422	46701028	237463	450460	11777
hg19/STAR/SRR1257271	35881060	5360234	247	30003906	162979	346908	7033
hg19/STAR/SRR1257272	51614239	7806267	404	43228403	225857	342154	11558
hg19/STAR/SRR1333393	143267031	28689881	3058	103712422	4269273	6494571	100884
hg19/STAR/SRR1333394	152119450	42150243	3813	95975322	3726092	10073130	194663
hg19/STAR/SRR1507056	139047315	27187974	6	47496514	749698	63606933	6196
hg19/STAR/SRR1507057	138847639	30487509	4	50664903	975678	56712083	7466
hg19/STAR/SRR1507058	80719271	13103413	6	38591555	197681	28820663	5959
hg19/STAR/SRR1528630	128248167	6541438	2407418	11079321	1916976	108707097	3335
hg19/STAR/SRR1528631	178670949	8514180	2064613	25369614	4564911	140203788	18456
hg19/STAR/SRR1528632	15021421	3648762	291	7995908	2634792	696153	45806
hg19/STAR/SRR1528633	14794249	3572444	242	7906339	2590020	680141	45305
hg19/STAR/SRR1528686	19459603	7645007	364	10878777	146632	776503	12684
hg19/STAR/SRR1528687	26851880	10289044	452	15233886	209586	1101116	18248
hg19/STAR/SRR1528688	17329007	8070656	326	8560612	218435	468301	11003
hg19/STAR/SRR1528689	23882383	10865672	391	12033990	310696	656136	15889
hg19/STAR/SRR1528690	21361142	8230890	545	11472190	735965	898587	23510
