srr	rc	offset	p	fdr
SRR1802139	29	12	1.04215428023901e-84	6.33942448669391e-81
SRR1802142	29	12	3.99072936883186e-84	1.21378033753021e-80
SRR1802138	28	12	2.17927478218159e-83	4.41884283333687e-80
SRR1610248	29	12	8.08234948972286e-83	1.2291232986496e-79
SRR1802137	28	12	1.47637356405459e-82	1.79615607802882e-79
SRR1802141	28	12	2.23714784476399e-82	2.26809505661656e-79
SRR1802141	29	12	2.87057315004225e-82	2.49452806738672e-79
SRR1802140	28	12	5.63039649835785e-82	4.28121273743885e-79
SRR2433794	29	12	9.46697707510633e-80	6.3986246164302e-77
SRR1610249	29	12	4.93291836946893e-78	3.00069424414795e-75
SRR1802137	29	12	1.98612824340793e-77	1.09832891860458e-74
SRR1802138	29	12	5.24646878931483e-77	2.65952247045017e-74
SRR1610251	28	12	6.66279841771748e-77	3.11767713653657e-74
SRR1610244	29	12	1.29012966243859e-76	5.60561338329567e-74
SRR1610248	28	12	2.56067300964366e-76	1.03843826117749e-73
SRR1758379	28	12	2.89007693236094e-76	1.09877112372198e-73
SRR1610251	29	12	9.36027323998408e-76	3.3493260069896e-73
SRR1610246	29	12	3.50611818182005e-75	1.18487316111174e-72
SRR1802142	28	12	2.55396574667087e-74	8.17672296684152e-72
SRR2064449	29	12	8.88472627661467e-74	2.70228949703235e-71
SRR4293693	29	12	6.36379619836986e-73	1.8433796321278e-70
SRR1802139	28	12	1.08092590661037e-72	2.98876013177767e-70
SRR1535522	29	12	4.16380956929228e-72	1.10123711347848e-69
SRR4045276	28	12	4.72323858378054e-72	1.19714417938071e-69
SRR1257268	28	12	1.21638099530916e-71	2.95969823778624e-69
SRR1535524	29	12	2.49303440369853e-71	5.83274164526851e-69
SRR1535523	29	12	3.58236424520796e-71	8.07093396429631e-69
SRR1535517	29	12	2.55337360438204e-68	5.54720415551999e-66
SRR1610250	29	12	2.85906322275604e-68	5.93964569587238e-66
SRR1535526	28	12	2.92930085280571e-68	5.93964569587238e-66
SRR1758378	29	12	3.58072839118153e-67	7.02631316243781e-65
SRR1535524	28	12	6.43130337229389e-67	1.22255057542699e-64
SRR1610245	29	12	1.08542852844968e-66	2.00080658744224e-64
SRR1802130	28	12	2.37681351186382e-66	4.25239899784342e-64
SRR1610246	28	12	3.60703590561822e-66	6.26902840396447e-64
SRR1535516	28	12	1.20687199226189e-65	2.03927842470252e-63
SRR1535518	29	12	2.8034903699558e-65	4.60908970822734e-63
SRR1257262	28	12	3.17627848752621e-65	5.08455316832157e-63
SRR1535525	28	12	3.44289467223215e-65	5.37003289517645e-63
SRR1610244	28	12	4.47729569075939e-65	6.80884742172234e-63
SRR1535516	29	12	6.5678593137991e-65	9.74446053800975e-63
SRR1535519	28	12	1.29451338373837e-64	1.87488688411441e-62
SRR1257263	28	12	2.12861856701689e-64	3.01125273096832e-62
SRR1535518	28	12	6.39502791628579e-64	8.8411260942651e-62
SRR1802131	28	12	4.36521781398216e-63	5.90080443610077e-61
SRR1802148	28	12	5.26025433628086e-63	6.95611459295575e-61
SRR4045276	29	12	6.06013397773683e-63	7.8433606354411e-61
SRR1802129	28	12	7.74251674945044e-63	9.81202695560563e-61
SRR1802146	28	12	1.84827539656642e-62	2.29450188516603e-60
SRR1535517	28	12	2.09385338132294e-62	2.54738202371749e-60
SRR1257267	28	12	3.12062827935966e-62	3.72211408300878e-60
